Method,SUC,NormPrec,Prec
-SeqTrack,0.396,0.429,0.402
-MixFormer,0.395,0.424,0.398
-DropMAE,0.375,0.397,0.365
-ROMTrack,0.37,0.392,0.361
-GRM,0.363,0.381,0.348
MasT-small,0.356,0.432,0.330
MaST-tiny,0.334,0.407,0.262
MaST-nano,0.306,0.378,0.301
FartTrack_tiny,0.352,0.365,0.323
FartTrack_nano,0.339,0.351,0.303
FartTrack_pico,0.303,0.330,0.257
MixFormerV2,0.352,0.365,0.33
ARTrack,0.356,0.358,0.324
ToMP,0.349,0.364,0.321
OSTrack,0.336,0.345,0.315
STARK,0.334,0.343,0.308
SwinTrack,0.33,0.342,0.303
SimTrack,0.344,0.342,0.303
TrSiam,0.326,0.336,0.284
PrDiMP,0.31,0.322,0.269
AutoMatch,0.288,0.315,0.266
DiMP,0.299,0.317,0.257
TransT,0.299,0.314,0.254
SiamCAR,0.27,0.299,0.253
SiamRPN++,0.281,0.297,0.249
Ocean,0.275,0.302,0.246
STMTrack,0.265,0.281,0.229
ATOM,0.172,0.141,0.102
SiamBAN,0.16,0.155,0.096
SiamFC,0.085,0.029,0.043
